fromLib,toLib,type
commons-collections:commons-collections,org.apache.commons:commons-collections4,rename:undecided
commons-collections:commons-collections,org.apache.commons:commons-lang3,rename:undecided
commons-configuration:commons-configuration,org.apache.commons:commons-configuration2,rename:undecided
commons-dbcp:commons-dbcp,org.apache.commons:commons-dbcp2,rename:undecided
commons-digester:commons-digester,org.apache.commons:commons-digester3,rename:undecided
commons-httpclient:commons-httpclient,org.apache.httpcomponents:fluent-hc,rename:undecided
commons-httpclient:commons-httpclient,org.apache.httpcomponents:httpclient,rename:undecided
commons-httpclient:commons-httpclient,org.apache.httpcomponents:httpcore,rename:undecided
commons-httpclient:commons-httpclient,org.apache.httpcomponents:httpmime,rename:undecided
commons-io:commons-io,org.apache.commons:commons-io,rename:undecided
commons-lang:commons-lang,com.google.guava:guava,undecided
commons-lang:commons-lang,org.apache.commons:commons-collections4,undecided
commons-lang:commons-lang,org.apache.commons:commons-lang3,rename:undecided
commons-lang:commons-lang,org.apache.commons:commons-text,undecided
commons-logging:commons-logging,ch.qos.logback:logback-classic,undecided
commons-logging:commons-logging,ch.qos.logback:logback-core,undecided
commons-logging:commons-logging,log4j:log4j,undecided
commons-logging:commons-logging,org.apache.logging.log4j:log4j-api,undecided
commons-logging:commons-logging,org.apache.logging.log4j:log4j-core,undecided
commons-logging:commons-logging,org.ops4j.pax.logging:pax-logging-api,undecided
commons-logging:commons-logging,org.slf4j:jcl-over-slf4j,undecided
commons-logging:commons-logging,org.slf4j:log4j-over-slf4j,undecided
commons-logging:commons-logging,org.slf4j:slf4j-api,undecided
commons-logging:commons-logging,org.slf4j:slf4j-jdk14,undecided
commons-logging:commons-logging,org.slf4j:slf4j-log4j12,undecided
commons-logging:commons-logging,org.slf4j:slf4j-nop,undecided
commons-logging:commons-logging,org.slf4j:slf4j-simple,undecided
commons-logging:commons-logging-api,ch.qos.logback:logback-classic,undecided
commons-logging:commons-logging-api,org.jboss.logging:jboss-logging,undecided
commons-logging:commons-logging-api,org.jboss.logging:jboss-logging-processor,undecided
commons-logging:commons-logging-api,org.slf4j:jcl-over-slf4j,undecided
commons-logging:commons-logging-api,org.slf4j:log4j-over-slf4j,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-api,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-jdk14,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-log4j12,undecided
commons-logging:commons-logging-api,org.slf4j:slf4j-simple,undecided
commons-pool:commons-pool,org.apache.commons:commons-pool2,rename:undecided
concurrent:concurrent,backport-util-concurrent:backport-util-concurrent,rename:undecided
dom4j:dom4j,jaxen:jaxen,undecided
dom4j:dom4j,org.dom4j:dom4j,rename:undecided
dom4j:dom4j,org.jdom:jdom,undecided
dom4j:dom4j,org.jdom:jdom2,undecided
dumbster:dumbster,org.subethamail:subethasmtp-wiser,undecided
easymock:easymock,org.easymock:easymock,rename:undecided
easymock:easymock,org.easymock:easymockclassextension,rename:undecided
easymock:easymock,org.mockito:mockito-core,undecided
freemarker:freemarker,org.freemarker:freemarker,rename:upgrade
groovy:groovy-all,org.codehaus.groovy:groovy-all,rename:undecided
hsqldb:hsqldb,com.h2database:h2,undecided
hsqldb:hsqldb,org.apache.derby:derby,undecided
hsqldb:hsqldb,org.apache.derby:derbyclient,undecided
hsqldb:hsqldb,org.hsqldb:hsqldb,rename:undecided
httpunit:httpunit,net.sourceforge.htmlunit:htmlunit,undecided
httpunit:httpunit,org.apache.tomcat.embed:tomcat-embed-core,undecided
httpunit:httpunit,org.apache.tomcat.embed:tomcat-embed-logging-juli,undecided
httpunit:httpunit,org.apache.tomcat:tomcat-juli,undecided
httpunit:httpunit,org.httpunit:httpunit,rename:upgrade
httpunit:httpunit,xerces:xercesImpl,undecided
info.cukes:cucumber-java,io.cucumber:cucumber-java,rename:undecided
info.cukes:cucumber-java,io.cucumber:cucumber-java8,rename:undecided
info.cukes:cucumber-junit,io.cucumber:cucumber-junit,rename:undecided
io.dropwizard.metrics:metrics-core,com.codahale.metrics:metrics-core,rename:downgrade
io.dropwizard.metrics:metrics-core,io.micrometer:micrometer-core,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-core,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-registry-influx,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-registry-prometheus,undecided
io.dropwizard.metrics:metrics-graphite,io.micrometer:micrometer-spring-legacy,undecided
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-core,rename:downgrade
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-jvm,rename:downgrade
io.dropwizard.metrics:metrics-jvm,com.codahale.metrics:metrics-servlets,rename:downgrade
io.dropwizard.metrics:metrics-jvm,io.micrometer:micrometer-registry-prometheus,undecided
io.dropwizard:dropwizard-core,org.springframework.boot:spring-boot-starter-web,undecided
io.grpc:grpc-protobuf,com.google.protobuf:protobuf-java,undecided
io.netty:netty,org.asynchttpclient:async-http-client,undecided
io.netty:netty,org.jboss.netty:netty,undecided
io.netty:netty-all,org.apache.activemq:activemq-core,undecided
io.prometheus:simpleclient,io.micrometer:micrometer-registry-prometheus,undecided
io.prometheus:simpleclient,io.micrometer:micrometer-spring-legacy,undecided
